Title,Body,Vendor,Product Category,Type,Tags,Published,Size,Variant SKU,Variant Inventory Tracker,Variant Price,Image Src,Cost per item,, 
Vinyl Coated Kettle Bells 5 - 25 lbs,"comf:anti-roll Design:Flat bottom, comf:benefits:sculpt/tone entire body, comf:Cleaning Instructions:wipe w/ damp cloth, conv:Product weight: 5 - 25 lb, conv:Warranty: 1 year structural frame+180 days other parts and components, engr:construction:Durable cast iron, engr:finish:vinyl coated, engr:Product weight: 5 lbs+10 lbs+15 lbs+20 lbs+and 25 lbs, engr:What's Included: 1 color coded kettlebell, Exercise Machine US, Google Shopping, None_financing, over-10, PLP-strength, PLP-strength-weight, PLP-strength-weight-kettlebell, price:Under $200, Strength, tech:grip type: wide handles, tech:Size & Colors: purple-5 lb+yellow-10lb+red-15 lb+blue-20 lb+gray-25 lb, tech:variation identifier: color coded, under-200",,,,,TRUE,,#vinyl-coated-kettle-bells-5---25-lbs,shopify,1799,https://sunnyhealthfitness.com/cdn/shop/products/No66_All_Front_600x.jpg?v=1569947893,,,
High Performance Treadmill w/ 15 Auto Incline Levels & Body Fat Function,"7874, addfeatures:pulse monitor, bis-hidden, bis-paused, comf:bottle holder:yes, comf:deck to floor height:Min 5.91 in/Max 9.92 in, comf:emergency stop brake:yes, comf:handrail controls:yes, comf:running surface:54L x 18W in, comf:shock absorption:yes, comf:soft drop system:yes, comf:transportation wheels:yes, conv:folded product dimensions:45L x 31W x 62.5H in, conv:product dimensions:70L x 31W x 51H in, conv:product weight:153.2 lb, conv:ship dimensions:73.2L x 32.1W x 12.8H In, conv:ship weight:173.1 lb, conv:warranty:3 year structural frame+180 days other parts and components, Delivery:5-12, DISCO-OOS, engr:incline degrees:1.7° - 5.5°, engr:incline levels:15, engr:incline percent:0.15, engr:max user weight:285 lb, engr:motorized:yes, engr:peak dc hp:3.0 Peak HP, engr:speed range:0.6 - 11 MPH, Exercise Machine US, Financing, financing-eligible, Google Shopping, incline-control-motorized, max user weight range:250 lb - 299 lb, over-10, price:$600 to $800, rec-excl, SF-T7874, shipping:ltl, tech:additional connections:MP3 Port+Speakers, tech:built-in programs:14, tech:digital monitor:Calories+Distance+Heart Rate+Incline+Speed+Time, tech:pulse sensor:yes, tech:quick incline button:5%+10%+15%, tech:quick speed button:3+6+9 MPH, treadmill, treadmill-speed-up-to-11-mph",,,,,TRUE,,#high-performance-treadmill-w/-15-auto-incline-levels-&-body-fat-function,shopify,76999,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-treadmills-performance-treadmill-high-weight-capacity-15-levels-auto-incline-MP3-body-fat-function-SF-T7874-01_600x.jpg?v=1629306528,,,
Dip Bar Attachment for Squat Racks and Power Cages,"002, 9927, comf:Cleaning Instructions:wipe w/ damp cloth, comf:knurled grip: Diamond knurled, comf:security:Hook & Lock security, conv:Product dimensions: 13L x 12.8W x 8.7H in, conv:Product weight: 8.7 lb, conv:Ship dimensions: 15.3L x 15.3W x 5.3H in, conv:Ship weight: 10.8 lb, conv:Warranty: 1 year structural frame+180 days other parts and components, engr:construction:durable steel, engr:max user weight:330 lb, engr:what's included: 2 PC Dip Bar Set, Exercise Machine US, Google Shopping, max user weight range:300 lb - 349 lb, over-10, PLP-strength, PLP-strength-attachment, PLP-strength-weight, PLP-upper-body, price:Under $200, Strength, tech:Bolt Diameter: 0.79 in, tech:compatibility: SF-XF920020+SF-XF920063+SF-XF921024+SF-XF921041+SF-XF922059+SF-XF9925+SF-XF9931 and SF-XF9933, under-200",,,,,TRUE,,#dip-bar-attachment-for-squat-racks-and-power-cages,shopify,5499,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-strength-dip-bar-attachment-SF-XFA002-11_600x.jpg?v=1611862570,,,
Ab Roller Exercise Wheel,"comf:Cleaning Instructions:wipe w/ damp cloth, comf:Handlebars:non-slip grips, comf:skill level:Suitable for beginners to advanced, conv:Product dimensions: 10.2L x 7.3W x 7.5H in, conv:Product weight: 1.1 lb, conv:Ship dimensions: 10.3L x 9.1W x 2H in, conv:Ship weight: 1.3 lb, conv:Warranty: 1 year structural frame+180 days other parts and components, Delivery:3-7, engr:benefits:Excellent for upper body strengthening, engr:what's included:1 ab roller wheel, Exercise Machine US, Google Shopping, None_financing, over-10, price:Under $200, tech:Design: Lightweight/Portable, tech:durability:dual wheels ensure stability, under-200, UpSell-Acc",,,,,TRUE,,#ab-roller-exercise-wheel,shopify,1999,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-accessories-ab-roller-exercise-wheel-No-003-02_600x.jpg?v=1610750895,,,
Magnetic Upright Programmable Exercise Bike w/ Heart Rate Monitor,"2883, addfeatures:pulse monitor, belt-drive, cardio, comf:bottle holder:yes, comf:inseam adjustment:Min 26 in/Max 35 in, comf:pedal type:self leveling w/ adjustable strap, comf:seat adjustment:up/down & forward/back, comf:seat dimensions:12L x 12.5W x 2.5H in, comf:seat type:cushioned, comf:transportation wheels:yes, conv:product dimensions: 34L x 22.5W x 55.5H in, conv:product weight:60.9 lb, conv:ship dimensions:35.8L x 11W x 28.7H in, conv:ship weight:74.1 lb, conv:warranty:3 year structural frame+180 days other parts and components, cross-sell:cadence-free, Delivery:3-7, engr:drive mechanism:belt drive, engr:floor stabilizers:yes, engr:max user weight:240 lb, engr:motorized:yes, engr:tension system:electro-magnetic, Exercise Bikes, Exercise Machine US, features-pulse-monitor, Google Shopping, inseam max:34.5 in - 36 in, inseam min:25.5 in - 27 in, mat:s, max user weight range:200 lb - 249 lb, over-10, PLP-bike, PLP-cardio-bike, PLP-home-cardio-equipment, price:$200 to $400, SF-B2883, shipping:free, tech:device holder:yes, tech:digital monitor:Calorie+Distance+Heart Rate+Level+Odometer+Program+RPM+Speed+Target Heart Rate+Time+WATT, tech:pulse sensor:yes, tech:resistance levels:16, upright",,,,,TRUE,,#magnetic-upright-programmable-exercise-bike-w/-heart-rate-monitor,shopify,32999,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-bikes-magnetic-upright-exercise-bike-programmable-monitor-pulse-rate-SF-B2883-01_c5de8aaa-3d1b-4b2e-957c-b85f95a5c034_600x.jpg?v=1584386770,,,
Total Body Step Machine Exercise Stepper,"0978, cardio, comf:adjustable step height:yes, comf:pedal type:non-slip, comf:resistance bands:yes, conv:product dimensions:16.3L x 12.8W x 13.6H in, conv:product weight:16.2 lb, conv:ship dimensions:13.8L x 7.5W x 16.9H in, conv:ship weight:18.4 lb, conv:warranty:1 year structural frame+180 days other parts and components, Delivery:3-7, engr:foot action:up/down action, engr:max user weight:220 lb, engr:tension system:hydraulic, Exercise Machine US, Family:S0978, features-resistance-bands, Google Shopping, mat:xs, None_financing, over-10, PLP-home-cardio-equipment, PLP-stepper, price:Under $200, resistance-bands, SF-S0978, Stepper, tech:digital monitor:Calorie+Count+Time+Total Count+Scan, Tier:Standard, under-200, YGroup_MiniStepper",,,,,TRUE,,#total-body-step-machine-exercise-stepper,shopify,7999,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-stepper-total-body-stepper-machine-SF-S0978-01_600x.jpg?v=1619643550,,,
Pink Exercise Bike Belt Drive Premium Indoor Cycling Trainer,"8150, addfeatures:clip-in pedals, belt-drive, bike-resistance-leather-pad, cardio, Collection_Pink, comf:bottle holder:yes, comf:handlebar adjustment:up/down, comf:inseam adjustment:Min 28 in/Max 39 in, comf:pedal type:clip-in/caged, comf:seat adjustment:up/down & forward/back, comf:seat dimensions:10.25L x 6.5W x 2.5H in, comf:seat to handlebar distance:Min 18.5 in/Max 23 in, comf:transportation wheels:yes, conv:product dimensions:47L x 20W x 47H in, conv:product weight:104.7 lb, conv:ship dimensions:42.1L x 11.0W x 34.8H In, conv:ship weight:119.1 lb, conv:warranty:3 year structural frame+180 days other parts and components, cross-sell:cadence-offer, cycling, Delivery:3-7, engr:drive mechanism:belt drive, engr:emergency stop brake:yes, engr:floor stabilizers:yes, engr:max user weight:265 lb, engr:q-factor:177mm, engr:tension system:leather pad, Exercise Bikes, Exercise Machine US, features-spd-compatible-pedals, Financing, financing-eligible, flywheel weight range:40 lb +, Google Shopping, inseam max:38.5 in - 40 in, inseam min:27.5 in - 29 in, mat:s, max user weight range:250 lb - 299 lb, over-10, P8150, paymentplan:financing, PLP-bike, PLP-cardio-bike, PLP-home-cardio-equipment, price:$400 to $600, shipping:free, tech:flywheel weight:40 lb, tech:resistance levels:micro-adjustable",,,,,TRUE,,#pink-exercise-bike-belt-drive-premium-indoor-cycling-trainer,shopify,42999,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-bikes-pink-belt-drive-premium-indoor-cycling-trainer-P8150-06_600x.jpg?v=1629307454,,,
Magnetic Silent Recumbent Exercise Bike with Quiet Belt Drive Performance,"4953, addfeatures:pulse monitor, belt-drive, bis-hidden, bis-paused, comf:inseam adjustment:Min 30 in/Max 38 in, comf:pedal type:non-slip w/ adjustable strap, comf:seat adjustment:forward/back, comf:seat dimensions:10L x 16W x 2.5H in, comf:seat type:ergonomic, comf:transportation wheels:yes, conv:product dimensions:57L x 25W x 45.5H in, conv:product weight:74 lb, conv:ship dimensions:54.5L x 10.8W x 26.8H in, conv:ship weight:85 lb, conv:warranty:3 year structural frame+180 days other parts and components, cross-sell:cadence-offer, Delivery:3-7, DISCO-OOS, engr:floor stabilizers:yes, engr:max user weight:275 lb, engr:seat height:Min 20.08 in/21.65 in, engr:tension system:magnetic, Exercise Bikes, Exercise Machine US, features-pulse-monitor, Google Shopping, inseam max:36.5 in - 38 in, inseam min:29.5 in - 31 in, mat:m, max user weight range:250 lb - 299 lb, over-10, price:$200 to $400, rec-excl, Sale, SF-RB4953, tech:device holder:yes, tech:digital monitor:Calendar+Calorie+Clock+Distance+Pulse+RPM+Speed+Time+Temperature+Scan, tech:pulse sensor:yes, tech:resistance levels:8",,,,,TRUE,,#magnetic-silent-recumbent-exercise-bike-with-quiet-belt-drive-performance,shopify,19999,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-bikes-magnetic-recumbent-exercise-bike-silent-belt-drive-performance-monitor-BMI-calculator-SF-RB4953-02_600x.jpg?v=1629308006,,,
Slim Folding Treadmill Trekpad with Moving Arms Exercisers,"7971, bis-hidden, bis-paused, comf:deck to floor height:2.2 in, comf:emergency stop brake:yes, comf:handrail controls:yes, comf:running surface:47L x 16W in, comf:shock absorption:yes, comf:soft drop system:yes, comf:transportation wheels:yes, conv:foldable:yes, conv:folded product dimensions:25.2L x 27W x 52.8H in, conv:product dimensions:57L x 27W x 53.5H  in, conv:product weight:86 lb, conv:ship dimensions:60.6L x 29.5W x 7.1H In, conv:ship weight:108 lb, conv:warranty:3 year structural frame+180 days other parts and components, Delivery:3-7, DISCO-OOS, engr:incline levels: Fixed (not adjustable), engr:min user weight:99 lb, engr:motorized:yes, engr:peak dc hp:1.6 Peak HP, engr:speed range:0.5 - 4.0 MPH, Exercise Machine US, Financing, financing-eligible, Google Shopping, incline-control-none, mat:m, max user weight range:200 lb - 249 lb, max user weight:200 lb - 224 lb, over-10, price:$400 to $600, rec-excl, SF-T7971, tech:arm exercisers:yes, tech:digital monitor:Calories+Distance+Speed+Steps+Time, tech:remote control option:yes, treadmill, YGroup_UnderDeskTreadmill",,,,,TRUE,,#slim-folding-treadmill-trekpad-with-moving-arms-exercisers,shopify,45999,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-treadmills-slim-folding-treadmill-trekpad-arm-exercisers-SF-T7971-09_600x.jpg?v=1629306395,,,
Pink Recumbent Exercise Bike Magnetic Resistance w/ Heart Rate Monitor,"8400, addfeatures:pulse monitor, belt-drive, bis-hidden, bis-paused, Collection_Pink, comf:inseam adjustment:Min 27 in/Max 34 in, comf:pedal type:non-slip w/ adjustable strap, comf:seat adjustment:forward/back, comf:seat dimensions:10.5L x 15W x 2H in, comf:seat type:ergonomic, comf:transportation wheels:yes, conv:product dimensions:43L x 23W x 36.5H in, conv:product weight:48.5 lb, conv:ship dimensions:28.7L x 12.2W x 25.6H in, conv:ship weight:55.5 lb, conv:warranty:3 year structural frame+180 days other parts and components, cross-sell:cadence-offer, Delivery:3-7, DISCO-OOS, engr:floor stabilizers:yes, engr:max user weight:220 lb, engr:seat height:20.28 in, engr:tension system:magnetic, Exercise Bikes, Exercise Machine US, features-pulse-monitor, Google Shopping, inseam max:32.5 in - 34 in, inseam min:25.5 in - 27 in, mat:s, None_financing, over-10, P8400, price:$200 to $400, rec-excl, tech:digital monitor:Calorie+Distance+Odometer+Pulse+Speed+Time+Scan, tech:pulse sensor:yes, tech:resistance levels:8",,,,,TRUE,,#pink-recumbent-exercise-bike-magnetic-resistance-w/-heart-rate-monitor,shopify,14999,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-bikes-magnetic-recumbent-bike-exerciuse-bike-220lb-capacity-monitor-pulse-rate-monitoring-P8400-01_600x.jpg?v=1585328129,,,
"Asuna Heavy Duty Manual Treadmill w/ Incline, 400 LB High Weight Capacity","bis-hidden, bis-paused, comf:deck to floor height:Min 13.21 in/Max 13.43 in, comf:running surface:51L x 17.75W in, comf:shock absorption:yes, comf:transportation wheels:yes, conv:folded product dimensions:27.5L x 30.5W x 57H in, conv:product dimensions:55L x 30.5W x 57H in, conv:product weight:165.3 lb, conv:ship dimensions:58.1L x 31.7W x 27.2H In, conv:ship weight:195.1 lb, conv:warranty:5 year structural frame+180 days other parts and components, Delivery:5-12, DISCO-OOS, engr:incline degrees:6 - 10°, engr:incline function:Manual, engr:incline levels:4, engr:incline percent:10.5 - 17.6%, engr:max user weight:440 lb, engr:speed range:Manual, incline-control-manual-adjust, max user weight range:400 lb +, rec-excl, shipping:ltl, tech:device holder:yes, tech:resistance levels:8, tech:tension system:magnetic, tech:weighted flywheels:yes, treadmill",,,,,TRUE,,"#asuna-heavy-duty-manual-treadmill-w/-incline,-400-lb-high-weight-capacity",shopify,120000,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-treadmills-cardio-trainer-manual-treadmill-adjustable-incline-magnetic-resistance-400_lb-capacity-7700-01_600x.jpg?v=1629306597,,,
Premium Magnetic Belt Drive  Indoor Cycling Bike,"1876, addfeatures:built-in monitor, addfeatures:clip-in pedals, addfeatures:pulse monitor, belt-drive, bike-resistance-magnetic, built-in-monitor, cardio, comf:bottle holder:yes, comf:handlebar adjustment:up/down, comf:inseam adjustment:Min 28 in/Max 40 in, comf:pedal type:clip-in/caged, comf:seat adjustment:up/down & forward/back, comf:seat dimensions:10.5L x 6.5W x 2.5H in, comf:seat to handlebar distance:Min 20 in/Max 24 in, comf:transportation wheels:yes, conv:product dimensions:50L x 20W x 47.5H  in, conv:product weight:109.2 lb, conv:ship dimensions:42.1L x 11W x 34.6H In, conv:ship weight:119.2 lb, conv:warranty:3 year structural frame+180 days other parts and components, cross-sell:cadence-free, cycling, Delivery:3-7, engr:drive mechanism:belt drive, engr:emergency stop brake:yes, engr:floor stabilizers:yes, engr:max user weight:300 lb, engr:q-factor:217mm, engr:tension system:magnetic, Exercise Bikes, Exercise Machine US, Family:B1509, features-pulse-monitor, features-spd-compatible-pedals, flywheel weight range:40 lb +, Google Shopping, inseam max:38.5 in - 40 in, inseam min:27.5 in - 29 in, mat:m, max user weight range:300 lb - 349 lb, over-10, PLP-bike, PLP-cardio-bike, PLP-home-cardio-equipment, price:$400 to $600, SF-B1876, shipping:free, tech:device holder:yes, tech:digital monitor:Avg Cadence+Avg Speed+Cadence+Calories+Distance (Miles Or Kilometers)+Max Cadence+Max Speed+Pulse+Race+Speed+Target Distance+Target Time+Time, tech:flywheel weight:40 lb, tech:pulse sensor:yes, tech:resistance levels:micro-adjustable, Tier:Magnetic",,,,,TRUE,,#premium-magnetic-belt-drive--indoor-cycling-bike,shopify,54999,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-bikes-magnetic-indoor-cycling-bike-SF-B1876-01_600x.jpg?v=1619130207,,,
Carbon Pro Elliptical Machine Magnetic Resistance Trainer,"3981, addfeatures:pulse monitor, bis-hidden, bis-paused, cardio, comf:pedal type:non-slip, comf:transportation wheels:yes, conv:product dimensions:69.3L x 28.7W x 64.8H in, conv:product weight:95.5 lb, conv:ship dimensions:60.2L x 15.8W x 25.2H In, conv:ship weight:112.4 lb, conv:warranty:3 year structural frame+180 days other parts and components, Delivery:3-7, DISCO-OOS, Distance, Elliptical, engr:floor stabilizers:yes, engr:max user weight:265 lb, engr:pedal step height:Min 7.3 in/Max 13.4, engr:stride length:16 in, Exclusive, Exercise Machine US, Family:E3981, Financing, financing-eligible, Google Shopping, magnetic, max user weight range:250 lb - 299 lb, None_financing, over-10, price:$400 to $600, Pulse, rec-excl, RPM, Scan, SF-E3981, Speed, stride length range:16 in – 18 in, tech:device holder:yes, tech:flywheel weight:13 lb, tech:pulse sensor:yes, tech:resistance levels:10, Tier:Pro, Time, TraditionalElliptical",,,,,TRUE,,#carbon-pro-elliptical-machine-magnetic-resistance-trainer,shopify,29999,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-elliptical-carbon-pro-magnetic-elliptical-SF-E3981-01_600x.jpg?v=1629308153,,,
Force Fitmill Magnetic Manual Treadmill Double Flywheel | Sunny Strength™,"7723, bis-hidden, bis-paused, comf:deck to floor height:10.9 in, comf:running surface:53L x 16W in, comf:shock absorption:yes, comf:soft drop system:yes, comf:transportation wheels:yes, conv:folded product dimensions:31L x 27W x 58H in, conv:product dimensions:59L x 27W x 55H in, conv:product weight:110 lb, conv:ship dimensions:65.9L x 30.8W x 14.6H In, conv:ship weight:126.5 lb, conv:warranty:3 year structural frame+180 days other parts and components, Delivery:3-7, DISCO-OOS, engr:incline degrees:7.7°, engr:incline levels: Fixed (not adjustable), engr:incline percent:0.135, engr:max user weight:300 lb, engr:speed range:Manual, Exercise Machine US, Financing, financing-eligible, Google Shopping, incline-control-none, max user weight range:300 lb - 349 lb, over-10, price:$400 to $600, rec-excl, SF-T7723, tech:resistance levels:16, tech:tension system:magnetic, tech:weighted flywheels:yes, treadmill",,,,,TRUE,,#force-fitmill-magnetic-manual-treadmill-double-flywheel-|-sunny-strength™,shopify,45998,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-treadmills-force-fitmill-manual-treadmill-high-weight-capacity-magnetic-resistance-dual-flywheel-SF-T7723-01_600x.jpg?v=1629307439,,,
Anti-Burst Gym Ball - 55cm  65cm or 75cm w/ Pump,"comf:benefits:Strengthen+tone and build muscles throughout your body, comf:built to last:Slow deflating mechanism, comf:Cleaning Instructions:wipe w/ damp cloth, conv:Product Dimensions:55cm - 21.66L x 21.66W x 21.66H in+65cm - 25.6L x 25.6W x 25.6H in+75cM - 29.53L x 29.53W x 29.53H in, conv:Ship dimensions: 8.2L x 5.2W x 8.7H in, conv:Ship weight: 2.8-3.5 lb, conv:Warranty: 1 year structural frame+180 days other parts and components, Delivery:3-7, engr:max user weight: 400 - 440 lb, engr:What's included: 1 Ball+1 Inflation Pump, Exercise Machine US, Google Shopping, None_financing, over-10, PLP-strength-weight, price:Under $200, tech:Available sizes:55cm+65cm+75cm, tech:construction:Anti-burst pvc, tech:variation Identifier:Color Coded, under-200",,,,,TRUE,,#anti-burst-gym-ball---55cm--65cm-or-75cm-w/-pump,shopify,1799,https://sunnyhealthfitness.com/cdn/shop/products/AntiBurstBall_family_600x.jpg?v=1569876360,,,
Tri Fold Exercise Mat - Thick Gymnastics Folding Mat,"comf:benefits:Can double as bed+yoga mat+pilates mat+etc., comf:cleaning instructions:wipe w/ damp cloth, comf:cushioning: Foam fill inner, conv:folded dimensions: 4L x 24W x 6H in, conv:product dimensions: 72L x 24W x 2H in, conv:product weight: 3.97 lb, conv:ship dimensions: 24.6L x 24.6W x 6.3H in, conv:ship weight: 5.07 lb, conv:warranty:1 year structural frame+180 days other parts and components, Delivery:3-7, engr:color options:Black, engr:foldable: tri-fold design, engr:multifunctional:carry handles for easy portability to home+gym+or yoga, engr:what's included: 1 Mat, etc., Exercise Machine US, Floor Mat, Google Shopping, mat:m, None_financing, over-10, pilates mat, PLP-essential, PLP-essential-accessories, PLP-essential-accessories-cardio, price:Under $200, Ship weight: 5.07 lb, tech:closure type: Zipper, tech:design: Lightweight/Portable, tech:durability:Tear/sweat resistant, tech:materials (inner):2"" foam fill, tech:materials (outer):vinyl cover, tech:surface:smooth+non-slip, under-200, yoga mat",,,,,TRUE,,#tri-fold-exercise-mat---thick-gymnastics-folding-mat,shopify,4299,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-accessories-tri-folding-exercise-gymnastic-mat-extra-thick-with-carry-handles-No.048-01_600x.jpg?v=1598652600,,,
Lat Pulldown Pulley System Attachment for Power Racks,"comf:Includes safety clips:Yes, comf:Pully Bar:non-slip grip, comf:safety latches:Yes, conv:Product dimensions: 39.5L x 36.4W x 84.2H in, conv:Product weight: 48.5 lb, conv:Ship dimensions: 79.9L x 13.6W x 8.9H in, conv:Ship weight: 60.5 lb, conv:Warranty: 1 year structural frame+180 days other parts and components, engr:construction:durable steel, engr:long Bar:39"" anti-roll bar, engr:max user weight capacity: 200 lb, engr:Short Bar:20"" low lever bar, engr:What's Included: 1 Lat Pulldown Attachment System, Exercise Machine US, Financing, financing-eligible, Google Shopping, over-10, paymentplan:financing, PLP-strength, PLP-strength-attachment, PLP-strength-weight, PLP-upper-body, price:$200 to $400, shipping:free, Strength, tech: Cable type: High-Strength Nylon Coated, tech:compatibility: SF-BH6920+SF-XF920063+SF-XF921024+SF-XF9925+SF-XF9931 and SF-XF9933, tech:Tension System:Adjustable weighted resistance",,,,,TRUE,,#lat-pulldown-pulley-system-attachment-for-power-racks,shopify,29999,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-strength-Lat-Pulldown-Attachement-SF-XF9927-02_600x.jpg?v=1603403550,,,
AeroPro Exercise Bike for Indoor Cycling,"1711, addfeatures:clip-in pedals, belt-drive, bike-resistance-magnetic, cardio, Clearance, Clearance-badge, comf:bottle holder:yes, comf:handlebar adjustment:up/down, comf:inseam adjustment:Min 27 in/Max 39 in, comf:pedal type:clip-in/caged, comf:seat adjustment:up/down & forward/back, comf:seat dimensions:11L x 7.5W x 3H in, comf:seat to handlebar distance:Min 18 in/Max 23 in, comf:transportation wheels:yes, conv:product dimensions:49L x 22W x 45.5H in, conv:product weight:113.6 lb, conv:ship dimensions:45.3L x 9.8W x 34.3H In, conv:ship weight:128.4 lb, conv:warranty:3 year structural frame+180 days other parts and components, cross-sell:cadence-offer, cycling, Delivery:3-7, engr:drive mechanism:belt drive, engr:emergency stop brake:yes, engr:floor stabilizers:yes, engr:max user weight:300 lb, engr:q-factor:203mm, engr:tension system:magnetic, Exercise Bikes, Exercise Machine US, features-spd-compatible-pedals, flywheel weight range:40 lb +, Google Shopping, inseam max:38.5 in - 40 in, inseam min:25.5 in - 27 in, mat:s, max user weight range:300 lb - 349 lb, over-10, PLP-bike, PLP-cardio-bike, PLP-home-cardio-equipment, price:$400 to $600, SF-B1711, shipping:free, tech:device holder:yes, tech:flywheel weight:44 lb, tech:resistance levels:micro-adjustable",,,,,TRUE,,#aeropro-exercise-bike-for-indoor-cycling,shopify,21999,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-bikes-aeropro-indoor-cycling-bike-SF-B1711-01_600x.jpg?v=1629306673,,,
"86"" Olympic Barbell Weight Bar 1500 lbs Capacity","barbells, comf:brass bushings:Yes, comf:knurled grip:diamond knurling, conv:product dimensions:86L in, conv:product weight:44 lb, conv:ship dimensions:89L x 3.5W x 3.5H in, conv:ship weight:49 lb, conv:warranty:1 year structural frame+180 days other parts and components, engr:max load:1500 lb, engr:shaft diameter:28MM, engr:tensile strength:184778.1 psi, Exercise Machine US, Financing, financing-eligible, Google Shopping, LI-EOL, over-10, paymentplan:financing, PLP-essential, PLP-essential-accessories, PLP-essential-accessories-strength, PLP-strength, PLP-strength-weight, PLP-strength-weight-barbell, PLP-upper-body, price:Under $200, Strength, tech:fit accommodations:olympic weight plates w/ 2"" center holes, tech:rotating sleeves:yes, under-200",,,,,TRUE,,"#86""-olympic-barbell-weight-bar-1500-lbs-capacity",shopify,19999,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-strength-86-olympic-bar-1500-lbs-capacity-OBC-86-01_600x.jpg?v=1597182803,,,
Sunny Strength™ Tornado LX Fan Bike - Air Assault Exercise,"2729, addfeatures:bluetooth, bike-resistance-air, bis-hidden, bis-paused, comf:inseam adjustment:Min 28 in/Max 41 in, comf:pedal type:self leveling/non-slip, comf:seat adjustment:up/down & forward/back, comf:seat dimensions:11L x 10.5W x 3H in, comf:seat type:cushioned, comf:transportation wheels:yes, conv:product dimensions:55L x 23.5W x 49H in, conv:product weight:98.6 lb, conv:ship dimensions:56.5L x 11.2W x 34.8H in, conv:ship weight:112.9 lb, conv:warranty:3 year structural frame+180 days other parts and components, cross-sell:cadence-offer, Delivery:3-7, DISCO-OOS, engr:arm exercisers:yes, engr:drive mechanism:chain drive, engr:floor stabilizers:yes, engr:max user weight:330 lb, engr:tension system:fan/air, Exercise Bikes, Exercise Machine US, features-bluetooth, Financing, financing-eligible, Google Shopping, inseam max:40.5 in - 42 in, inseam min:27.5 in - 29 in, mat:m, max user weight range:300 lb - 349 lb, over-10, price:$600 to $800, rec-excl, SF-B2729, tech:device holder:yes, tech:digital monitor:Calorie+Distance+Pulse+RPM+Speed+Time+WATT, tech:resistance levels:Progressive, YGroup_FanBike",,,,,TRUE,,#sunny-strength™-tornado-lx-fan-bike---air-assault-exercise,shopify,89999,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-bikes-exercise-fan-bike-bluetooth-heart-rate-compatibility-tornado-LX-SF-B2729-01_600x.jpg?v=1590769286,,,
Olympic Bar Holder Attachment - Sunny Strength™ Barbell Holder Rack,"003, comf:Cleaning Instructions:wipe w/ damp cloth, comf:Protective Coating: yes, conv:Product dimensions: 6.4L x 5.3W x 4.7H in, conv:Product weight: 4.9 lb, conv:Ship dimensions: 10.2L x 6.6W x 5.9H in, conv:Ship weight: 5.7 lb, conv:Warranty: 1 year structural frame+180 days other parts and components, engr:construction:durable steel, engr:what's included: 2 PC Bar Holder Set w/ Hardware, Exercise Machine US, Google Shopping, over-10, PLP-essential, PLP-essential-accessories, PLP-essential-accessories-strength, PLP-strength, PLP-strength-attachment, PLP-strength-weight, PLP-upper-body, price:Under $200, Strength, tech:Bolt Diameter: 0.79 in, tech:compatibility: SF-XF920020+SF-XF920063+SF-XF921024+SF-XF921041+SF-XF922059+SF-XF9925+SF-XF9931 and SF-XF9933, tech:Fit Accommodations: 2 inch Olympic sized barbells, under-200",,,,,TRUE,,#olympic-bar-holder-attachment---sunny-strength™-barbell-holder-rack,shopify,3999,https://sunnyhealthfitness.com/cdn/shop/products/sunny-health-fitness-strength-bar-holder-attachment-SF-XFA003-58_600x.jpg?v=1619711119,,,
